Fatal_1 Fatal_2 Fatal_3 Survivor_1 Survivor_2 Survivor_3
DMRTC2 0 1 0 0 1 0
THOC3 85 55 66 268 214 140
THOC2 1325 1118 1474 2140 1905 1183
THOC7 165 124 269 142 172 96
THOC6 44 59 69 34 46 57
THOC5 587 655 553 430 687 378
GLRA2 2 0 0 1 0 0
PRRG3 1 0 0 0 0 2
RHBDL3 2 1 4 7 10 1
HSD3B1 1 2 0 1 0 0
ADAM32 83 58 17 14 46 4
MAVS 35 47 44 35 45 58
ERVMER34-1 3 6 3 2 2 0
FOXP3 24 15 17 4 1 1
MAZ 81 71 43 21 28 45
RCCD1 0 0 0 0 0 0
IL10RA 974 708 965 766 1782 1121
FOXP4 5 15 2 1 0 5
MSL3 1463 1113 1604 829 879 737
SAA4 2 2 0 0 0 0
COPS6 127 165 135 80 65 58
SAA1 1 9 2 0 0 0
ZNF592 657 528 358 187 275 134
ZNF593 7 17 23 5 11 4
ZNF596 53 56 85 117 72 51
ZNF597 244 173 349 64 66 53
MDGA2 3 2 0 0 1 3
ZNF595 127 94 61 345 393 220
ZNF598 13 8 12 3 4 15
ERI1 242 179 254 426 666 146
MYCN 1 0 3 1 0 0
MYCL 4 1 1 6 3 11
PARPBP 67 62 80 75 148 36
PLCH2 3 3 5 0 0 0
PLCH1 8 12 11 1 7 0
VEZF1 1780 1697 2582 1015 1006 594
ANKRD11 659 975 800 278 329 271
FAM135A 601 247 339 601 474 458
KIF14 194 147 237 414 627 124
TMEM45B 21 26 11 9 3 0
NUDT8 4 5 6 6 7 8
IGF1 1 6 5 13 9 4
DLD 670 643 1015 689 578 253
NUDT1 33 32 21 12 34 56
NUDT2 31 22 35 21 25 17
NUDT3 567 465 721 445 513 299
MRPL22 111 83 133 95 115 97
NUDT5 184 157 248 171 327 159
NUDT7 10 3 19 18 32 4
SEPN1 42 28 25 6 19 17
TK2 280 157 248 157 169 141
PHLDB1 19 20 19 3 7 0
PWP2 150 177 149 131 191 177
NTHL1 4 0 1 6 8 27
LARS 155 106 138 498 578 246
HPCAL4 1 1 4 7 6 1
SST 1 1 1 1 0 0
ELK4 1167 1079 1032 2560 2234 656
MEF2A 5333 3693 6040 2180 2486 1501
FETUB 4 0 0 0 0 0
MSLN 0 0 0 4 2 0
FBXL20 270 210 162 247 257 130
LCORL 212 102 185 287 282 260
FBXL22 3 5 2 0 0 0
ZNF334 38 49 56 152 188 60
EPHX3 1 0 0 0 1 0
TEX19 1 1 0 1 0 0
ZNF333 210 209 136 182 119 106
ZNF331 16 13 13 50 32 36
TEX15 7 6 2 0 1 0
RPLP1 0 1 0 0 1 0
TEX11 0 0 0 0 0 4
TEX10 179 202 283 357 336 210
TEX12 3 2 3 0 1 2
CD300LG 0 0 0 0 0 1
CD300LF 2470 1906 3316 175 487 114
LRRC3B 1 0 2 0 0 0
LRRC3C 0 0 0 0 0 0
ECD 562 564 745 514 549 221
GPATCH11 84 110 94 78 93 67
IPPK 147 123 184 55 85 40
CIB2 17 22 2 1 0 0
NDFIP2 23 19 13 90 92 69
NDFIP1 969 597 1224 1049 1258 684
CIB1 447 486 554 147 242 271
PRIMA1 0 0 0 0 0 0
CIB4 0 0 0 0 0 0
THYN1 98 83 82 306 328 246
TTC29 0 0 0 1 0 0
TRIL 0 0 0 0 0 0
TRIO 183 202 107 426 527 328
NTF4 0 0 1 0 0 0
MTMR11 12 11 12 5 4 6
MTMR10 882 842 1052 632 528 394
UGDH 49 91 53 121 192 50
ARID3C 1 1 0 1 0 0
CELSR1 3 0 1 0 0 1
RABL2B 28 22 24 23 7 20
PTCHD3 1 2 0 3 0 3
TSEN54 50 37 30 99 127 63
LRRC38 0 1 0 1 0 0
TTC27 285 179 177 576 686 620
MGST3 539 666 589 292 553 444
LRRC31 1 0 0 125 1 0
LRRC32 15 11 9 3 2 3
LRRC34 25 27 18 109 80 11
LY6G5C 4 6 3 0 3 0
MFSD12 14 22 11 1 3 8
FAM117A 175 138 89 97 110 78
THTPA 222 122 200 45 54 50
SNRNP48 107 92 120 205 182 100
MAD2L2 332 200 177 64 117 76
MAD2L1 52 40 45 83 71 30
SVIL 2630 2892 4516 757 868 517
TCEB3 745 793 935 481 621 311
CEP57L1 85 48 102 299 440 146
BMPER 0 4 5 0 1 0
SVIP 181 113 135 32 36 22
UBAP2 606 673 649 989 1640 357
IQSEC2 29 35 56 8 36 14
GPRASP2 150 123 99 306 178 152
CCDC160 0 0 0 0 0 0
CCDC167 31 43 31 20 17 18
GLB1L2 2 1 0 1 0 0
ST3GAL3 17 22 6 22 26 22
ST3GAL2 304 303 526 24 57 63
ST3GAL1 1565 1248 1501 660 687 782
ST3GAL6 226 50 156 111 58 94
ST3GAL5 219 85 71 414 459 368
ST3GAL4 593 376 538 149 301 95
NINJ1 395 442 440 16 74 43
NINJ2 45 84 109 10 45 23
DEFB116 0 0 0 0 0 0
MUS81 115 119 112 38 60 88
TJAP1 70 80 45 17 27 20
SLC16A9 0 1 0 0 3 0
SLC16A8 0 0 0 0 0 0
SLC16A3 668 664 754 18 48 61
SLC16A2 7 5 1 10 14 0
NPY2R 2 0 0 0 0 0
OAT 252 178 205 404 443 209
ARHGAP32 78 91 52 164 112 49
BCKDHB 15 17 3 39 32 33
ARHGAP35 645 357 319 628 665 267
BCKDHA 136 164 183 32 61 77
ARHGAP39 0 4 0 0 2 0
WIPF1 5431 4848 4344 3087 2400 1306
MON1B 346 324 467 116 198 79
DYNLL1 0 0 0 0 0 0
LYVE1 704 1183 369 10 13 12
HECTD3 782 759 901 251 298 129
DRAM2 598 529 607 551 672 527
PRDM5 71 46 49 93 45 234
PRICKLE1 51 34 30 63 54 38
HECTD1 2650 2191 2978 4209 4082 2306
KIAA1024L 0 0 0 0 0 0
JMJD1C 7448 6564 10637 5927 5040 3461
CACNA1H 0 0 0 0 2 4
GPS2 2 4 6 4 3 1
CACNA1E 6 3 8 2 2 0
ATP6V0D2 7 1 2 0 0 0
ATP6V0D1 817 797 910 45 117 83
HAND2 0 0 0 0 0 0
LSS 110 54 88 23 23 22
FCAR 13071 3201 12885 50 235 70
FLCN 557 541 724 88 105 105
WSB2 2221 1867 1660 535 746 325
TTL 625 666 858 120 163 110
BGLAP 2 1 1 2 1 1
SLC15A2 45 161 23 489 238 289
FAXC 1 0 1 1 0 0
SLC15A1 0 1 1 6 1 1
MOS 2 0 0 0 0 0
RBM41 124 109 91 361 324 167
RBM42 137 131 140 16 45 53
RBM43 259 176 224 276 292 122
RBM45 23 17 24 119 90 66
RBM46 1 1 0 45 3 31
RBM47 2846 2096 3069 470 843 334
RBM48 197 200 277 155 132 57
NPY1R 1 5 0 1 0 0
PQBP1 130 102 140 61 98 72
TTC14 717 788 1140 1516 1286 1003
TTC17 1848 1283 2153 1795 1814 1001
TTC13 563 465 740 768 693 568
TTC12 71 83 66 198 181 110
TTC19 277 302 212 331 225 153
SLBP 186 147 144 129 209 107
EPGN 1 1 0 1 9 0
SLC31A2 1348 1543 1100 601 1034 310
ABCA8 2 1 0 0 1 0
ZFP90 47 36 18 141 80 69
ZFP91 2659 1972 2407 1717 1779 1029
PDIK1L 133 82 111 273 289 177
RICTOR 10410 7248 10983 6467 5747 2817
LMO1 0 0 1 0 0 7
PPM1F 393 392 400 92 183 203
THEM5 0 0 1 0 4 2
THEM4 12 18 9 23 32 11
ABCF2 161 83 122 227 268 176
ABCF1 848 1164 1050 405 556 302
EGR2 25 18 14 189 237 166
C4BPA 0 1 0 1 0 0
C4BPB 3 4 2 0 5 0
EGR1 75 69 53 357 488 220
PPM1K 105 121 112 303 181 239
PPM1H 163 239 514 79 48 56
DOCK9 215 223 158 282 177 193
PRAMEF9 0 1 0 0 2 0
IQCD 11 13 7 3 9 1
PJA2 2159 1832 2704 1724 1835 768
CHEK2 64 62 91 275 494 139
PRKAB1 645 732 1195 175 176 143
SIKE1 461 377 573 965 549 525
LIN28B 0 0 1 0 0 0
PAX5 16 27 8 38 40 183
PAX4 2 0 0 0 0 0
PTPN9 1361 1254 1126 482 527 179
PAX1 0 0 0 0 0 0
ABCC3 263 218 48 60 132 35
PAX2 0 1 1 0 0 1
PTPN3 2 2 1 3 1 0
PTH2 0 0 0 0 0 0
PTPN7 162 118 129 27 37 58
PAX8 9 8 5 0 0 6
PTPN5 0 1 1 0 1 0
PTPN4 281 175 143 1829 1551 603
GINS2 19 13 11 46 31 25
GINS3 15 4 2 1 12 19
GINS1 46 48 60 294 874 153
PROK1 0 0 0 0 0 0
GINS4 23 12 23 13 28 36
PROK2 158 60 451 13 8 7
DDR2 23 10 14 2 2 6
DDR1 21 34 34 5 7 3
BARHL1 0 0 0 0 0 0
LRCH4 0 0 0 0 0 0
GRK6 1196 1357 1292 130 257 291
NNMT 15 12 7 0 1 0
LRCH1 432 354 412 411 361 219
LRCH2 7 1 3 4 0 0
GRK7 3 5 4 2 1 0
MBD3L1 0 0 0 0 1 0
SKOR1 2 1 0 0 0 0
RCOR1 374 348 279 367 470 255
EPG5 2556 2623 3495 746 907 307
PTDSS1 459 341 254 1017 1112 632
PTDSS2 12 6 6 11 9 13
AGBL1 1 0 0 2 0 0
ZNF502 7 3 9 34 14 25
RBM12B 345 302 496 328 288 165
ARRB2 977 901 926 215 424 167
C5H4orf29 131 97 116 255 328 124
ADPRH 1709 1845 3241 866 1321 615
ADPRM 75 82 168 132 90 59
CNTD1 49 74 39 8 6 5
CNTD2 0 0 2 1 3 0
C15H9orf41 113 64 89 255 368 218
C15H9orf43 9 6 10 16 3 12
PTK6 0 0 0 0 0 0
COL16A1 13 11 21 0 1 0
GPNMB 133 99 38 60 115 59
OSBPL7 48 66 62 39 64 53
AKAP8L 1086 1257 909 310 441 316
C9 3 4 1 1 1 5
PSMA1 1325 879 1450 870 1131 574
SLC7A6OS 69 145 199 85 88 36
PSMA4 1532 1240 1799 1001 1481 577
C3 1752 1471 1383 5 38 3
DSG3 0 1 2 0 0 0
DSG1 1 1 0 0 1 0
C7 2 4 3 0 0 0
DSG4 0 5 2 0 1 0
FBXO47 7 9 3 2 4 2
FBXO41 5 9 6 14 14 3
FBXO40 8 8 5 19 7 13
FBXO43 18 13 6 8 17 5
FBXO42 382 281 328 183 205 117
WDR1 5650 4414 7784 3324 3572 2983
FBXO48 18 4 9 11 5 10
SH3BP5L 251 237 250 60 105 118
EXPH5 27 29 21 172 148 93
ADIG 1 1 0 0 1 0
DET1 120 142 112 100 91 46
CP 64 37 45 52 43 43
RMND5A 735 629 548 1782 1835 789
RMND5B 94 102 99 47 52 97
NRBF2 591 445 480 315 433 165
KCNJ3 0 0 0 0 0 0
KCNJ2 2278 1281 2943 531 691 133
SFRP1 1 9 2 2 5 0
TRAFD1 5560 3496 4614 1625 2343 842
KCNJ6 0 0 1 4 0 0
SFRP4 0 2 4 24 26 2
SFRP5 1 3 0 14 6 13
DLEU7 1 0 1 0 1 0
KCNJ9 0 1 0 0 1 0
KCNJ8 1 0 0 0 1 0
AGPAT4 30 18 17 65 80 46
WAPAL 2779 2279 2654 2847 2958 1243
COL1A1 0 1 0 1 2 0
KIAA1217 25 15 29 42 61 6
CMYA5 29 15 21 13 10 2
ACTL6A 66 49 36 341 303 202
GPR151 2 2 9 6 3 6
FOXO1 133 228 115 295 293 211
LACRT 0 0 1 0 0 0
FOXO4 134 82 71 34 26 36
PEX10 0 4 5 1 4 5
PEX13 405 306 466 262 269 130
TMEM159 48 37 32 85 45 49
ANGEL1 66 39 22 109 125 112
PEX16 128 136 183 14 32 52
PP2D1 25 28 20 22 2 0
AP3B2 10 45 40 4 0 0
TFRC 2400 1932 4555 2031 3123 676
UNCX 0 0 0 0 0 0
PSEN2 89 84 37 55 47 33
C14H11orf58 1069 889 1425 1084 1241 674
C14H11orf52 1 3 1 3 15 15
C14H11orf54 490 278 228 194 289 160
C14H11orf57 563 492 830 481 529 278
TMEM196 0 0 0 0 0 0
AADAC 0 0 0 0 0 0
EPCAM 0 1 2 1 0 0
OSTF1 2431 2029 3357 1884 2486 1504
PPP1CA 1280 991 1202 536 945 973
SCARA5 2 1 0 1 0 0
HTR4 1 2 1 1 1 0
ABCG4 17 12 9 0 4 2
DCST1 2 5 3 1 2 0
WBP2 1446 1137 737 204 293 135
WBP1 70 60 58 24 54 51
COL6A2 1 5 5 0 0 7
WBP5 17 5 5 4 4 9
KLHL3 7 6 1 118 98 100
FGB 3 18 6 11 4 3
KLK12 0 0 0 0 0 0
KLK13 1 2 1 0 0 0
KLK10 1 1 0 0 0 0
KLK15 0 1 1 1 0 0
FAM71B 0 2 0 0 2 0
FAM71C 0 0 0 1 0 0
FAM71A 25 29 58 8 3 9
OGG1 53 67 71 17 35 25
EOMES 52 26 15 264 355 79
SNX25 89 147 86 390 277 352
ALLC 0 1 0 1 0 0
VSIG10 1 2 0 1 0 0
HIF1AN 239 251 279 87 110 60
DENND3 895 1134 1574 295 283 231
SLC34A2 3 1 2 0 0 0
PPP1R16A 0 2 2 1 1 1
GUCA1B 3 8 6 1 0 3
UAP1L1 23 7 15 0 2 0
CCDC174 566 544 824 261 221 171
USH1C 5 9 9 20 138 10
UBR3 1291 1108 1309 1834 1816 714
PNLDC1 4 17 10 1 13 12
UBR1 2623 2238 1918 3022 4157 1685
HSDL1 344 282 413 291 201 166
SOCS5 991 796 1156 831 535 423
SOCS4 120 55 115 195 193 142
CALN1 0 1 0 0 0 0
SOCS6 22 14 22 83 82 80
SOCS1 1 1 0 0 0 0
SRPR 2158 2147 2346 868 1116 663
SOCS3 283 421 762 9 90 63
SOCS2 65 17 19 51 50 30
PPP2CB 527 440 567 249 372 156
CCNY 1312 905 1103 1640 1704 1118
SRPX 3 0 0 1 0 2
CCNF 151 113 122 40 56 25
CCNC 880 548 715 573 654 297
CCNO 0 3 0 0 0 0
CCNH 372 301 362 462 413 305
CCNI 2304 1671 1005 1830 2059 746
CCNJ 107 111 108 117 102 72
VPS72 150 159 174 74 121 89
MIOS 417 339 494 472 463 298
GREM1 2 3 2 2 1 4
INO80 530 595 638 476 588 297
GSK3B 1270 1147 1241 726 832 401
LYSMD1 51 32 47 36 42 36
IL1R1 3196 1573 2081 17 49 15
PTN 0 1 0 1 0 0
LRRK1 297 277 608 221 271 286
LRRK2 6257 4524 8083 7729 6797 3361
PEG10 0 0 0 0 0 0
INVS 73 86 81 182 190 92
ABHD12 169 202 76 183 217 202
ABHD13 727 476 683 477 563 247
CRMP1 2 2 1 22 50 88
TGFB1I1 37 8 8 9 20 11
FN3K 15 10 4 8 8 5
PTS 23 15 13 251 111 67
MEGF8 39 47 21 9 11 7
MRPL11 79 67 60 114 181 205
MRPL12 21 18 27 10 28 34
RBFOX2 15 9 5 9 7 6
MRPL14 1 1 2 0 0 0
MRPL15 49 28 29 131 150 64
MRPL16 94 160 158 130 193 142
ARPC2 10363 9441 13974 4424 5124 3646
CDC25A 35 26 50 23 60 15
RNF44 11 13 8 1 3 21
ZNF639 265 221 181 294 216 145
RNF40 868 1018 1291 312 421 511
TMPRSS12 6 4 3 0 0 0
TMPRSS13 23 18 26 18 32 28
DCUN1D3 424 254 344 257 348 144
ZNF827 74 68 42 181 213 70
KDELR3 83 85 125 30 38 18
ITPR2 3068 2937 3837 3664 3447 2103
CDHR2 60 43 49 2 17 7
ZNF829 14 17 9 31 23 38
IL1RN 3018 2118 4439 36 64 22
AMPH 0 4 1 3 1 0
USMG5 142 91 186 319 756 148
LRIG2 515 353 406 544 518 207
LRIG1 137 176 113 407 402 265
RBM4 750 775 1072 533 585 500
ARL5B 1147 607 1880 491 565 268
SNCG 0 1 0 0 0 0
MTTP 4 1 2 0 1 7
CASKIN2 9 9 8 0 1 1
SNCA 163 72 74 2975 3692 1424
AIFM2 21 21 19 0 2 2
AIFM3 10 6 6 1 4 11
IL17RE 2 2 4 0 7 0
AIFM1 98 112 114 61 73 38
IL17RC 6 1 4 0 1 0
A1CF 5 3 1 0 2 0
KBTBD12 5 8 1 27 28 32
FOXR1 0 0 0 0 0 0
CDK20 0 2 1 10 6 3
POT1 2101 799 1053 2195 2294 745
FAM217A 6 4 12 5 34 3
SACS 1023 729 700 3908 3444 1969
UCP1 2 0 1 0 1 0
PATE1 0 0 0 0 1 0
OPN4 0 0 0 0 0 0
OPN3 29 29 33 54 72 22
LMNA 149 55 66 40 63 145
MSH3 285 380 291 566 664 351
AVEN 65 62 32 77 57 47
TEC 367 370 427 265 291 169
REPS1 611 659 715 671 535 448
TEF 26 15 8 67 89 61
NBN 18179 11130 31993 5425 21849 1776
GPN1 244 267 279 406 450 252
TMEM30A 2816 1840 2780 1842 1636 589
NFKB1 2758 2291 3852 1180 1154 870
TES 1558 1002 1949 890 845 773
EBF3 7 5 4 1 1 0
RAP2B 90 111 139 13 24 46
RAP2C 3345 2559 4675 905 892 511
RAB40AL 2 1 1 2 5 9
SIAH1 560 467 538 235 194 102
SIAH2 317 248 228 229 341 206
NSA2 289 318 346 676 778 804
MAMDC2 16 1 2 47 28 21
MOB3C 130 163 183 19 17 22
LYZL4 0 1 0 0 0 0
DDX20 332 249 325 428 397 283
PDZRN4 2 2 1 4 8 7
PHLPP1 475 407 271 215 242 142
PDZRN3 23 10 11 31 78 57
EMILIN3 0 1 0 6 1 4
EMILIN2 1836 2722 9499 989 1836 806
EMILIN1 9 14 8 0 6 0
DAPP1 853 657 1300 831 851 890
PIAS2 101 94 87 575 479 409
PIAS4 111 96 94 26 37 28
TMEM98 8 1 2 0 0 0
HIVEP1 701 678 923 245 188 125
HIVEP2 1291 853 1990 2333 1724 851
ZNF311 13 7 6 15 8 14
TEX38 14 11 5 4 0 10
EOGT 96 112 104 253 305 168
ZNF316 0 0 0 0 0 0
ZNF318 967 841 950 1373 923 576
ZNF319 54 88 66 32 31 44
TEX30 72 50 62 126 117 129
TEX37 0 1 0 0 0 0
TEX35 0 2 0 0 1 0
OVOL3 0 0 0 0 0 0
NRIP2 1 4 2 6 2 0
OVOL1 16 24 25 0 0 0
P2RX1 316 208 113 20 23 39
P2RX3 1 1 2 0 1 0
P2RX2 0 1 0 0 0 0
P2RX4 343 285 176 72 69 41
P2RX6 0 0 2 0 0 0
NUPR1L 0 5 1 1 2 2
HADHB 1732 1094 1391 1589 2711 815
HADHA 1312 971 1024 1096 1342 716
GSTP1 63 52 49 49 172 175
STPG2 2 4 1 3 8 0
STPG1 23 16 18 3 13 31
CXCL10 13270 3254 13947 1133 2976 52
POLN 12 8 10 26 51 15
MYLK4 3 1 2 1 0 0
PLXNB2 1538 734 1217 244 505 411
AMH 0 0 0 0 0 0
OTOGL 1 2 1 2 0 0
LRRC52 0 0 0 0 0 0
KIAA1024 1 0 0 0 1 0
LRRC56 5 7 10 0 4 10
TMEM87B 544 529 697 437 437 386
LRRC55 0 0 0 0 0 0
DENND1B 464 208 628 680 602 417
LRRC58 302 320 638 743 678 396
LRRC59 133 125 178 54 153 113
SLCO1C1 9 1 2 2 1 0
DIS3 391 460 506 797 776 452
NEUROG1 0 0 0 0 0 0
PIF1 9 8 7 2 4 3
BAP1 623 683 712 178 282 291
ZCCHC11 966 1175 1333 1504 1156 974
ZCCHC17 173 165 260 298 237 194
ZCCHC16 1 1 3 16 1 2
AP1M1 587 526 596 121 261 317
FKBP14 30 16 18 41 24 24
CCDC146 105 87 82 75 47 53
SOHLH2 19 3 13 0 2 0
ANKS4B 0 1 0 0 0 0
SMG5 839 856 865 381 393 399
CMAS 891 195 662 756 679 405
SMG7 2522 2586 2302 975 825 417
SAMD15 4 0 3 1 2 0
SAMD12 1 7 1 16 15 4
SAMD11 0 0 0 0 0 0
TKTL1 242 96 35 132 210 13
MFRP 3 5 4 2 2 0
SYS1 91 99 136 29 41 87
PCBP4 28 17 7 12 6 12
KIF17 2 3 6 0 0 0
NEUROD2 0 0 0 1 0 0
GRWD1 17 14 13 6 10 10
TBX20 11 3 0 0 6 0
RSF1 1856 1776 2455 1437 1545 782
SERAC1 483 414 721 192 195 182
IGF1R 616 476 376 260 208 140
IFNK 63 55 55 17 7 3
LHB 0 0 0 0 0 0
IFNG 14 8 1 59 37 17
SLC45A1 0 0 0 0 0 0
SLC45A3 15 11 3 16 17 10
SLC45A2 0 0 2 0 2 0
MTUS1 57 34 57 4 4 0
OSBPL8 8948 7403 9856 8552 8312 4818
OSBPL9 2776 1875 2267 1413 1559 857
CEP112 30 35 26 104 130 64
GMIP 1770 1563 1823 654 690 933
OSBPL2 1408 1213 1503 352 477 257
ALS2CL 37 23 16 3 2 2
OSBPL6 20 9 3 12 23 20
ADRA1A 2 0 0 0 1 0
TEX9 0 2 2 16 6 50
ADRA1D 4 1 4 0 0 0
STIL 304 275 367 719 1226 170
CD3EAP 37 16 25 32 49 53
SCLT1 1536 1273 2017 953 1202 570
AMT 66 89 53 21 34 51
POLH 343 281 283 168 158 148
STARD8 46 45 33 11 49 56
STARD9 46 65 32 53 32 26
ARHGAP12 2861 2364 4031 1988 2237 914
ADTRP 7 2 0 30 30 8
ARHGAP10 288 160 279 360 373 419
BPIFA3 1 0 0 0 0 0
STARD3 297 380 319 89 118 141
LZTS1 0 1 0 0 0 0
STARD6 0 1 1 0 0 0
C6H5orf24 155 107 197 185 214 112
ARHGAP18 6893 4419 5457 2049 2076 1482
STARD5 101 102 82 33 77 38
IL7R 387 227 187 2721 2356 1047
C1QL1 0 0 0 0 0 0
CREG1 2167 1836 2443 4940 8367 1008
GABRG2 1 2 1 0 0 0
GABRG1 0 3 0 3 1 0
CCNE2 130 90 87 250 303 55
C1QL2 0 0 0 0 0 0
C1QL3 12 42 33 3 3 5
IMPAD1 713 510 827 857 826 424
GPR137C 15 20 23 47 71 30
SIRT7 302 356 300 41 68 115
FZD10 1 0 1 4 0 3
FGL2 9050 6823 14044 9103 12701 5224
CHKA 523 461 526 147 102 76
RASL11B 1 1 3 9 8 6
BMS1 82 376 354 521 341 130
AHSA1 323 325 305 316 379 231
MRI1 3 3 3 5 7 8
SPP1 71 17 6 0 0 0
OCIAD2 7 10 2 9 28 7
PPP1R3F 16 14 9 12 17 18
DSP 3 5 3 5 1 75
PPP1R3D 52 38 45 8 21 16
GLMN 137 111 110 367 266 140
THBD 200 186 219 1 9 7
DSE 629 524 2324 274 296 388
DCDC2 0 4 4 1 1 0
GSTO2 21 9 10 11 27 21
PDAP1 66 149 114 48 72 30
GSTO1 52 53 24 50 86 80
ERMP1 213 251 266 447 333 124
CTHRC1 58 2 0 2 3 0
TTC33 175 133 211 456 366 289
CNGB1 1 0 2 0 2 0
TTC31 233 257 219 170 196 164
TTC37 1354 1034 1266 2783 2436 1358
HS3ST3B1 272 192 320 88 67 36
TTC38 51 52 29 89 77 86
CNGB3 8 6 10 9 3 0
RNPEPL1 276 279 131 22 45 76
NELL1 1 2 0 9 5 0
TIPRL 360 302 555 239 247 127
NSG1 7 1 2 14 27 15
SLC22A23 24 8 6 89 172 20
PLEK 18545 9168 26389 4412 3644 2197
ACTR10 845 560 709 688 766 450
DDTL 0 0 0 0 0 0
MARCKS 6072 3949 18370 1148 1710 558
MINOS1 146 137 146 136 182 92
FRRS1 516 409 894 180 342 153
SLC9A3 5 3 2 1 1 1
CCBE1 0 2 1 1 0 0
AUH 217 183 213 261 271 151
ZNF81 343 270 411 235 228 177
TMPPE 139 203 209 134 185 91
DUSP19 15 11 13 22 13 39
FRMPD4 2 0 2 0 0 0
FAM57A 23 11 25 17 8 5
FRMPD1 3 6 0 1 2 0
FRMPD3 6 7 10 14 16 19
FRMPD2 1 1 1 2 0 0
AADACL4 0 2 0 0 0 0
FYCO1 142 351 266 164 121 97
PDE10A 1 2 4 0 1 0
AADACL3 0 2 3 0 3 0
AADACL2 6 3 0 0 0 0
CAPZA3 0 0 0 0 0 0
GEMIN8 27 37 27 40 57 90
SCARF2 1 1 0 3 5 0
SCARF1 32 26 37 13 23 67
TIMD4 0 0 1 1 1 1
GEMIN2 1 0 0 0 0 0
MSGN1 0 1 0 0 0 0
LMO4 60 30 26 76 77 42
GEMIN4 64 40 77 89 103 81
GEMIN5 157 127 112 403 384 204
PBRM1 1858 1432 1688 2807 2684 1264
PFN2 49 56 30 81 46 40
POMGNT2 1 6 8 1 7 18
ERBB2 35 33 28 6 14 12
KRBA1 6 7 11 3 7 4
KRBA2 73 46 49 87 79 64
LARP1B 338 235 312 1113 1958 522
RPUSD4 112 94 148 70 112 89
MCRS1 328 292 273 96 165 266
C5H4orf46 228 155 287 233 208 146
C5H4orf47 0 0 0 0 0 0
ARSI 0 0 0 0 0 0
MLKL 624 522 647 352 511 147
CER1 1 0 0 0 0 0
FBXO6 1378 1034 1133 49 162 43
LARS2 71 55 39 197 172 230
ERAL1 87 70 43 120 126 123
SHC1 820 763 721 443 576 462
DDX17 6395 5805 7610 5562 5447 3855
ERBB4 4 0 2 1 0 0
ZNF121 0 0 0 0 0 0
C15H9orf64 68 48 74 53 114 46
GJB1 0 0 0 0 0 0
GJB3 1 0 0 1 4 0
GJB2 36 224 155 1 1 0
GJB4 0 0 0 0 0 0
DDX18 906 707 902 1105 1080 649
GJB6 0 0 0 0 1 0
GRIN3A 355 381 813 243 171 124
VWCE 3 9 0 0 0 7
C2H3orf62 246 253 262 44 46 50
DOCK3 57 39 32 116 49 23
ZFP57 0 1 0 0 1 0
PSMC4 570 501 590 225 310 318
RBM23 458 488 556 326 423 384
ARFIP1 357 295 363 549 607 336
KIF18A 138 84 142 308 436 48
CAPN3 563 764 741 69 77 86
FAM3C 78 95 38 214 166 363
SH3GLB2 90 99 45 30 75 76
TRIP13 64 48 64 121 168 71
CPVL 55 24 14 1177 3959 923
RDH8 0 0 0 0 0 0
IFT172 45 63 28 102 101 90
CERK 386 474 437 545 808 701
NCLN 32 30 21 5 12 23
RBM28 163 254 281 221 181 133
DNAL4 60 38 47 13 37 15
PPP1R32 2 2 1 0 1 0
LIN7A 0 0 0 0 1 0
SYNGR1 3 4 1 0 0 0
TGM2 285 210 255 2 16 3
LIN7B 0 3 1 0 0 0
TGM5 0 0 0 3 0 0
TGM7 1 0 0 0 1 0
KIF4B 4 8 12 9 24 5
TMEM179 0 1 0 0 1 0
FOXI1 10 5 2 0 0 0
TMEM177 2 1 2 13 17 20
TMEM174 1 2 0 1 0 0
FOXI2 0 0 0 0 0 0
TMEM173 1580 1876 2028 148 272 125
EIF3J 466 411 441 429 559 180
FOXH1 0 1 0 0 0 0
EIF3M 915 710 803 1961 2461 1416
SBF1 175 233 184 55 117 174
STYK1 8 2 4 0 4 0
EIF3B 847 885 896 779 958 577
EIF3D 1973 1544 1598 1188 1765 1841
EIF3F 784 932 616 1135 1240 703
FGFBP3 0 0 0 0 0 0
FGFBP2 6 6 3 81 62 31
FGFBP1 0 0 3 0 0 0
ARMC10 459 459 430 301 364 124
MKKS 287 304 341 447 422 289
NOL10 263 264 326 389 447 247
ELSPBP1 19 17 13 0 0 0
NOL12 87 89 119 9 28 39
CDKN2C 106 63 75 65 108 99
CDKN2D 811 742 912 93 113 223
WDR7 1222 1233 1129 1770 1697 641
NME6 61 62 57 76 84 82
DOCK4 1436 986 1394 850 865 189
PLCG2 2601 2602 2708 1139 1119 1594
EDEM3 2216 1629 2188 3104 3815 1552
EDEM1 5029 4230 6139 3691 3528 2078
NTPCR 30 34 44 65 90 97
SMG6 452 671 747 107 117 102
SAP30L 344 269 302 222 202 88
NME3 0 0 0 1 2 1
CSTF2T 378 295 408 652 671 548
UBTD2 95 73 78 60 112 43
UBTD1 37 55 78 0 5 2
NEIL1 24 25 14 6 15 13
CCL2 1070 305 1218 5 0 1
NFATC1 247 322 209 79 65 25
NFATC2 47 54 16 60 49 44
CCL1 5 0 3 0 0 0
TNFAIP8L3 23 29 55 31 3 13
TNFAIP8L2 363 268 154 190 289 204
TNFAIP8L1 5 2 0 0 2 0
DUSP12 62 60 34 131 156 127
