row.names	logFC	logCPM	PValue	FDR
CENPH	2.607714	4.51898008	4.43E-05	3.67E-04
RABGAP1L	2.561025	8.71332067	4.48E-05	3.71E-04
ISG20	-2.577473	6.09353766	4.54E-05	3.75E-04
ESCO2	2.581315	5.22969761	4.56E-05	3.77E-04
PNPLA1	-3.931632	0.23949849	4.63E-05	3.82E-04
ARHGEF39	2.554178	10.31082251	4.64E-05	3.82E-04
SAMSN1	-2.556283	8.44970304	4.64E-05	3.82E-04
MRRF	2.597037	4.5478595	4.65E-05	3.83E-04
EPHA2	-3.570492	0.60407144	4.67E-05	3.84E-04
WDPCP	2.597553	4.64076746	4.67E-05	3.84E-04
ZHX3	2.612107	3.96995018	4.71E-05	3.86E-04
ZNF32	2.733657	2.64394959	4.79E-05	3.92E-04
RNF213	-2.546473	12.03749748	4.85E-05	3.97E-04
PLD4	2.780454	2.22699727	4.87E-05	3.98E-04
CPNE5	-3.484604	0.74444145	4.87E-05	3.98E-04
OSBPL3	2.589588	4.59167321	4.92E-05	4.02E-04
TMEM40	2.621662	3.60134821	4.97E-05	4.05E-04
RRAS2	2.580174	4.72443439	5.01E-05	4.08E-04
AIM2	-2.54053	10.31638766	5.05E-05	4.10E-04
UPRT	2.585355	4.52893315	5.12E-05	4.16E-04
USP31	2.572608	4.98028616	5.13E-05	4.16E-04
PDE4D	2.537907	8.07764788	5.19E-05	4.20E-04
SH2D1B	2.66374	3.1793538	5.19E-05	4.20E-04
SYTL2	2.538396	7.08920562	5.26E-05	4.25E-04
MUC13	2.600081	3.89124613	5.26E-05	4.25E-04
KLF5	-2.640381	3.2539345	5.29E-05	4.27E-04
RTKN2	2.577529	4.34861623	5.35E-05	4.31E-04
ATP6V0D1	-2.547077	5.73822562	5.41E-05	4.35E-04
STARD7	2.532601	7.27863108	5.43E-05	4.36E-04
ACPP	-2.531226	7.6430637	5.44E-05	4.37E-04
RPS26	2.538422	6.49607936	5.45E-05	4.37E-04
YY2	2.716518	2.50459524	5.45E-05	4.37E-04
BCKDHB	2.763512	2.07465135	5.46E-05	4.37E-04
IFI30	-2.527571	9.29147129	5.49E-05	4.39E-04
DCAF17	2.587377	4.1033086	5.50E-05	4.39E-04
CYSLTR2	2.604376	3.60234614	5.55E-05	4.42E-04
NKD1	3.111207	1.10931333	5.60E-05	4.46E-04
CD300E	3.035453	1.13682011	5.60E-05	4.46E-04
KLHL8	2.536501	6.25439612	5.62E-05	4.47E-04
GALNT12	2.643651	3.03676326	5.64E-05	4.48E-04
IFNB1	-3.419412	0.83274249	5.67E-05	4.50E-04
PLK3	-2.532417	6.57124359	5.71E-05	4.53E-04
SLFN13	-2.521926	7.69986421	5.78E-05	4.58E-04
GZMH	2.53434	5.80778208	5.78E-05	4.58E-04
METTL8	2.593813	3.8511641	5.79E-05	4.58E-04
GATM	2.555214	4.8594632	5.82E-05	4.59E-04
ZNF658	2.695404	2.49943439	5.87E-05	4.63E-04
AP1S3	2.927497	1.37302721	5.91E-05	4.65E-04
RPL37A	2.522867	6.74774218	5.91E-05	4.65E-04
TMEM258	2.673594	2.66058766	5.96E-05	4.68E-04
FAM216B	-2.57461	3.93329986	5.98E-05	4.69E-04
IL4R	-2.515974	7.29213512	6.01E-05	4.72E-04
IKBKAP	2.523572	6.35651265	6.06E-05	4.75E-04
CSF1R	2.52055	6.53085169	6.08E-05	4.76E-04
THEMIS	2.553831	4.60764272	6.09E-05	4.76E-04
CNR2	2.597407	3.39930093	6.11E-05	4.77E-04
RBPMS2	2.576435	3.6238482	6.15E-05	4.80E-04
GIPC2	2.535372	5.01795626	6.19E-05	4.83E-04
MAPK8	2.513369	6.90117687	6.23E-05	4.85E-04
PRKCD	-2.514008	6.87529806	6.27E-05	4.87E-04
L3MBTL4	2.847858	1.6328632	6.30E-05	4.90E-04
PATL2	-2.706947	2.76299519	6.36E-05	4.93E-04
PTDSS1	2.511424	6.70691318	6.36E-05	4.93E-04
CD247	2.561207	4.05730183	6.37E-05	4.93E-04
UPB1	-2.806108	2.42439058	6.39E-05	4.94E-04
CD38	-2.502565	8.67834031	6.42E-05	4.96E-04
RPGRIP1L	2.811289	1.81843554	6.48E-05	5.00E-04
FITM2	2.665467	2.42555902	6.48E-05	5.00E-04
LMTK2	-2.502393	7.38767727	6.54E-05	5.04E-04
PIAS2	2.519667	5.37267486	6.55E-05	5.04E-04
NHLRC2	2.498801	8.76538694	6.55E-05	5.04E-04
GADD45A	-2.506104	6.76460922	6.60E-05	5.07E-04
RAB24	-2.517765	5.44036453	6.62E-05	5.08E-04
ICA1	-2.58742	3.74471885	6.65E-05	5.09E-04
CDC42EP2	-3.078297	1.32917315	6.65E-05	5.09E-04
STAT2	-2.494489	10.21205409	6.69E-05	5.12E-04
HAL	-2.518967	5.12339696	6.70E-05	5.12E-04
GNGT2	2.792462	1.73381175	6.72E-05	5.13E-04
SIK3	-2.495566	7.06211972	6.86E-05	5.23E-04
ARMC2	2.532246	4.41060386	6.88E-05	5.24E-04
PPCDC	-2.5978	3.63849201	6.90E-05	5.25E-04
TM4SF19	-2.970063	1.48517796	6.94E-05	5.27E-04
ACTL6A	2.529424	4.56838471	6.95E-05	5.27E-04
CCR6	2.584824	3.41386969	6.96E-05	5.28E-04
SETD7	2.490178	7.68810484	6.98E-05	5.29E-04
MAP1S	-2.696627	2.7498398	7.02E-05	5.31E-04
SUN1	2.50677	5.57380719	7.07E-05	5.34E-04
MMAB	3.143251	0.83094143	7.07E-05	5.34E-04
KCNA3	2.573683	3.56425903	7.08E-05	5.34E-04
PTPN13	2.527578	4.48481335	7.25E-05	5.47E-04
ACVR1	2.519916	4.68696594	7.29E-05	5.49E-04
HLX	-2.729647	2.28434339	7.29E-05	5.49E-04
TFE3	-2.496788	6.05622037	7.33E-05	5.51E-04
TSPAN18	-4.156921	0.33067401	7.34E-05	5.51E-04
ZNF281	-2.479298	8.67217142	7.38E-05	5.54E-04
TBCD	2.490286	6.24170098	7.45E-05	5.58E-04
LIF	-3.504313	0.53973999	7.47E-05	5.59E-04
LYN	-2.475081	10.79450214	7.52E-05	5.62E-04
AOAH	-2.476554	8.57466105	7.53E-05	5.63E-04
UAP1	-2.480376	6.86307956	7.64E-05	5.69E-04
MYO9B	-2.475715	7.82604223	7.64E-05	5.69E-04
USP49	-2.552165	3.84157281	7.64E-05	5.69E-04
NID1	-2.810828	2.05143354	7.66E-05	5.69E-04
ZBTB32	2.723093	1.88598887	7.66E-05	5.69E-04
GLRX2	2.529196	3.98244013	7.66E-05	5.69E-04
CD5	2.593619	2.97419076	7.68E-05	5.69E-04
CAPN3	-2.495834	5.51578355	7.70E-05	5.71E-04
TFPI2	-2.866608	1.61147522	7.71E-05	5.71E-04
DIRAS2	-2.53248	4.4624663	7.75E-05	5.73E-04
CRYL1	2.521717	4.17824771	7.88E-05	5.82E-04
CCR3	2.738162	2.02309589	7.90E-05	5.83E-04
